0,256,-500,0,0,None
-1,256,-500,0,0,None
-1969,320.8889,159.1111,64.888885,659.1111,M1
14,322.6667,159.1111,1.7778015,0,M1
24,328,159.1111,5.333313,0,M1
23,332.4445,159.1111,4.4444885,0,M1
21,334.2222,159.1111,1.77771,0,M1
30,334.2222,159.1111,0,0,M1
23,334.2222,159.1111,0,0,M1
25,329.7778,160.8889,-4.444397,1.7778015,M1
25,320,165.3333,-9.7778015,4.444397,M1
24,303.1111,170.6667,-16.888885,5.3334045,M1
26,293.3333,173.3333,-9.7778015,2.6665955,M1
24,283.5555,176,-9.7778015,2.6667023,M1
24,275.5555,177.7778,-8,1.7778015,M1
27,264.8889,179.5556,-10.666626,1.7778015,M1
25,256,180.4444,-8.8888855,0.88879395,M1
24,245.3333,180.4444,-10.666702,0,M1
25,235.5556,177.7778,-9.777695,-2.6665955,M1
24,225.7778,173.3333,-9.7778015,-4.444504,M1
26,216.8889,167.1111,-8.888901,-6.2221985,M1
25,203.5556,154.6667,-13.333298,-12.444397,M1
24,194.6667,147.5556,-8.888901,-7.1110992,M1
14,190.2222,144.8889,-4.444504,-2.6667023,M1
11,186.6667,143.1111,-3.5554962,-1.7778015,M1
25,179.5556,142.2222,-7.1110992,-0.88890076,M1
24,176,144,-3.555603,1.7778015,M1
25,175.1111,157.3333,-0.88890076,13.333298,M1
25,180.4444,171.5556,5.3332977,14.222305,M1
31,199.1111,191.1111,18.666702,19.555496,M1
19,208,195.5556,8.888901,4.444504,M1
6,218.6667,199.1111,10.666702,3.5554962,M1
20,240,200,21.333298,0.88890076,M1
6,240,200,0,0,M1M2
19,260.4445,195.5556,20.444489,-4.444397,M1M2
25,280.8889,179.5556,20.444397,-16,M1M2
28,297.7778,157.3333,16.888916,-22.222305,M1M2
22,310.2222,124.4444,12.444397,-32.8889,M1M2
16,310.2222,116.4444,0,-8,M1
13,307.5555,110.2222,-2.666687,-6.2221985,M1
9,302.2222,105.7778,-5.333313,-4.444397,M1
13,292.4445,103.1111,-9.77771,-2.6667023,M1
47,232,120,-60.44449,16.8889,M1
4,217.7778,131.5556,-14.2221985,11.555603,M1
40,194.6667,176,-23.1111,44.444397,M1
12,192.8889,190.2222,-1.7778015,14.2221985,M1
34,202.6667,225.7778,9.7778015,35.555603,M1
12,210.6667,235.5556,8,9.7778015,M1
21,246.2222,248.8889,35.555496,13.333298,M1
13,246.2222,248.8889,0,0,M1
16,272,246.2222,25.777802,-2.6667023,M1
32,300.4445,224.8889,28.444489,-21.333298,M1
17,305.7778,215.1111,5.333313,-9.7778015,M1
30,307.5555,180.4444,1.77771,-34.666702,M1
21,296.8889,158.2222,-10.666626,-22.222198,M1
40,263.1111,143.1111,-33.77777,-15.111099,M1
10,248.8889,143.1111,-14.222214,0,M1
33,209.7778,158.2222,-39.1111,15.111099,M1
24,194.6667,172.4444,-15.111099,14.2221985,M1
24,187.5556,193.7778,-7.1110992,21.333405,M1
18,187.5556,200.8889,0,7.1110992,M1
32,200.8889,217.7778,13.333298,16.8889,M1M2
13,208.8889,221.3333,8,3.5554962,M1M2
14,218.6667,223.1111,9.7778015,1.7778015,M1M2
23,239.1111,221.3333,20.444397,-1.7778015,M1M2
25,262.2222,202.6667,23.1111,-18.666595,M1M2
29,268.4445,181.3333,6.22229,-21.333405,M1M2
21,268.4445,156.4444,0,-24.8889,M1M2
22,258.6667,136.8889,-9.7778015,-19.555496,M1M2
23,240.8889,126.2222,-17.777786,-10.666702,M1M2
15,216.8889,124.4444,-24,-1.7778015,M1
12,216.8889,124.4444,0,0,M1
26,182.2222,139.5556,-34.666702,15.111206,M1
23,168,158.2222,-14.2221985,18.666595,M1
26,163.5556,179.5556,-4.444397,21.333405,M1
21,165.3333,200,1.7776947,20.444397,M1
26,176,215.1111,10.666702,15.111099,M1
35,198.2222,224.8889,22.222198,9.7778015,M1
29,216,221.3333,17.777802,-3.555603,M1M2
19,221.3333,214.2222,5.3332977,-7.1110992,M1M2
29,220.4444,201.7778,-0.88890076,-12.444397,M1M2
21,211.5556,189.3333,-8.888794,-12.444504,M1
29,199.1111,178.6667,-12.444504,-10.666595,M1
20,185.7778,173.3333,-13.333298,-5.3334045,M1
29,165.3333,172.4444,-20.444504,-0.88890076,M1
13,159.1111,172.4444,-6.2221985,0,M1
27,148.4444,174.2222,-10.666702,1.7778015,M1
34,139.5556,178.6667,-8.888794,4.444504,M1
27,140.4444,186.6667,0.88879395,8,M1
12,144,190.2222,3.555603,3.5554962,M1
56,172.4444,202.6667,28.444397,12.444504,M1
-1,206.2222,213.3333,33.7778,10.666595,M1
18,244.4444,224,38.2222,10.666702,M1
16,272,232,27.555603,8,M1
17,302.2222,241.7778,30.222198,9.7778015,M1
25,332.4445,254.2222,30.22229,12.444397,M1
20,360,265.7778,27.555511,11.555603,M1
28,382.2222,277.3333,22.222198,11.555511,M1
26,409.7778,288.8889,27.555603,11.5555725,M1
27,428.4445,291.5555,18.666687,2.666626,M1
23,444.4445,291.5555,16,0,M1
22,456,291.5555,11.555511,0,M1
29,464.8889,291.5555,8.8888855,0,M1
29,466.6667,291.5555,1.7778015,0,M1
26,465.7778,289.7778,-0.8888855,-1.77771,M1
64,433.7778,269.3333,-32,-20.444489,M1
6,433.7778,269.3333,0,0,M1
6,426.6667,265.7778,-7.1111145,-3.5555115,M1
15,419.5555,262.2222,-7.1111755,-3.555603,M1
26,397.3333,252.4444,-22.222198,-9.7778015,M1
20,379.5555,246.2222,-17.777802,-6.2221985,M1
28,356.4445,240.8889,-23.111023,-5.3332977,M1
28,319.1111,235.5556,-37.333374,-5.3332977,M1
29,302.2222,234.6667,-16.888916,-0.88890076,M1
18,290.6667,234.6667,-11.555511,0,M1
47,275.5555,234.6667,-15.111176,0,M1
12,273.7778,234.6667,-1.77771,0,None
22,270.2222,234.6667,-3.555603,0,None
23,266.6667,233.7778,-3.5555115,-0.88890076,None
40,262.2222,233.7778,-4.4444885,0,None
7,262.2222,233.7778,0,0,None
34,258.6667,233.7778,-3.5555115,0,None
14,256.8889,233.7778,-1.7778015,0,None
32,254.2222,234.6667,-2.666687,0.88890076,None
